si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
silid 	  silid 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
maysakit 	  sakit 	  may 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

natanaw 	  tanaw 	  na 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
matanda 	  tanda 	  ma 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
pinagmamasdan 	  masdan 	  pinag 	  _ 	  _ 	  ma 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pari 	  pari 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
maamong 	  amo 	  ma 	  _ 	  ng 	  _ 	ADJ
mukha 	  mukha 	  _ 	  _ 	  _ 	  _ 	NOUN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
maria 	  maria 	  _ 	  _ 	  _ 	  _ 	PROPN
clara 	  clara 	  _ 	  _ 	  _ 	  _ 	PROPN
habang 	  habang 	  _ 	  _ 	  _ 	  _ 	SCONJ
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nangungumpisal 	  kumpisal 	  nang 	  _ 	  _ 	  ku 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

namumutla 	  putla 	  nang 	  _ 	  _ 	  pu 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
labi 	  labi 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kura 	  kura 	  _ 	  _ 	  _ 	  _ 	NOUN
habang 	  habang 	  _ 	  _ 	  _ 	  _ 	ADVERB
gumagaralgal 	  garalgal 	  _ 	  um 	  _ 	  ga 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tinig 	  tinig 	  _ 	  _ 	  _ 	  _ 	NOUN
nito 	  nito 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

butil-butil 	  butil-butil 	  _ 	  _ 	  _ 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pawis 	  pawis 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
noo 	  noo 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

marahil 	  marahil 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
makasasaksi 	  saksi 	  maka 	  _ 	  _ 	  sa 	VERB
nito 	  nito 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
magsasabing 	  sabi 	  mag 	  _ 	  ng 	  sa 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
baka 	  baka 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kura 	  kura 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
nangungumpisal 	  kumpisal 	  nang 	  _ 	  _ 	  ku 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
dalaga 	  dalaga 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
maysakit 	  sakit 	  may 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nakahinga 	  hinga 	  naka 	  _ 	  _ 	  _ 	ADJ
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
ng 	ng 	_ 	_ 	_ 	_ 	ADP
maluwag 	  luwag 	  ma 	  _ 	  _ 	  _ 	ADJ
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
tiya 	  tiya 	  _ 	  _ 	  _ 	  _ 	PROPN
isabel 	  isabel 	  _ 	  _ 	  _ 	  _ 	PROPN
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
tumayo 	  tayo 	  _ 	  um 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pari 	  pari 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
nagpaalam 	  paalam 	  nag 	  _ 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

bago 	  bago 	  _ 	  _ 	  _ 	  _ 	ADVERB
lumabas 	  labas 	  _ 	  um 	  _ 	  _ 	VERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
lumingon 	  lingon 	  _ 	  um 	  _ 	  _ 	VERB
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
dalagang 	  dalaga 	  _ 	  _ 	  ng 	  _ 	NOUN
maysakit 	  sakit 	  may 	  _ 	  _ 	  _ 	ADJ
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

kabanata 	  kabanata 	  _ 	  _ 	  _ 	  _ 	NOUN
46 	  46 	  _ 	  _ 	  _ 	  _ 	CONJ
: 	  : 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pinag-uusig 	  usig 	  pinag 	  _ 	  _ 	  u 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kabila 	  kabila 	  _ 	  _ 	  _ 	  _ 	SCONJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
madilim 	  dilim 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kapaligiran 	  paligid 	  ka 	  _ 	  an 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
maaaninag 	  aninag 	  ma 	  _ 	  _ 	  a 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
lalaking 	  lalaki 	  _ 	  _ 	  ng 	  _ 	NOUN
mabilis 	  bilis 	  ma 	  _ 	  _ 	  _ 	ADVERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
naglalakad 	  lakad 	  nag 	  _ 	  _ 	  la 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nasisinagan 	  sinag 	  na 	  _ 	  an 	  si 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lalaki 	  lalaki 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
liwanag 	  liwanag 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
buwan 	  buwan 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
elias 	  elias 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

batid 	  batid 	  _ 	  _ 	  _ 	  _ 	VERB
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
nagmamasid 	  masid 	  nag 	  _ 	  _ 	  ma 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanya 	  kanya 	  _ 	  _ 	  _ 	  _ 	DET
kaya't 	  kaya't 	  _ 	  _ 	  _ 	  _ 	SCONJ
sumisipol 	  sipol 	  _ 	  um 	  _ 	  si 	VERB
siya 	  siya 	  _ 	  _ 	  _ 	  _ 	PRON
upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
mapaghinalaan 	  hala 	  mapag 	  in 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
guardia 	  guardia 	  _ 	  _ 	  _ 	  _ 	NOUN
civil 	  civil 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
sipol 	  sipol 	  _ 	  _ 	  _ 	  _ 	NOUN
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
sinasagot 	  sagot 	  _ 	  in 	  _ 	  sa 	VERB
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
pang 	  pang 	  _ 	  _ 	  _ 	  _ 	PART
sipol 	  sipol 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
sinusundan 	  sunod 	  _ 	  in 	  an 	  su 	VERB
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
ng 	ng 	_ 	_ 	_ 	_ 	ADP
aninong 	  aninong 	  _ 	  _ 	  _ 	  _ 	NOUN
naglalakad 	  lakad 	  nag 	  _ 	  _ 	  la 	VERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nakarating 	  dating 	  naka 	  _ 	  _ 	  _ 	ADJ
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
elias 	  elias 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
lugar 	  lugar 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
napalilibutan 	  libot 	  napa 	  _ 	  an 	  li 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
malalaking 	  laki 	  ma 	  _ 	  ng 	  la 	ADJ
batong-buhay 	  batong-buhay 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
nayuyungyungan 	  yungyung 	  na 	  _ 	  an 	  yu 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
sanga 	sanga 	_ 	_ 	_ 	_ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
punong-kahoy 	  punong-kahoy 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nagulat 	  ulat 	  nag 	  _ 	  _ 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
elias 	  elias 	  _ 	  _ 	  _ 	  _ 	PROPN
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
lumabas 	  labas 	  _ 	  um 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
likod 	  likod 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
batong-buhay 	  batong-buhay 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lalaking 	  lalaki 	  _ 	  _ 	  ng 	  _ 	NOUN
balbas 	  balbas 	  _ 	  _ 	  _ 	  _ 	NOUN
sarado 	  sarado 	  _ 	  _ 	  _ 	  _ 	ADJ
at 	at 	_ 	_ 	_ 	_ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
hawak 	  hawak 	  _ 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
baril 	  baril 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
sino 	  sino 	  _ 	  _ 	  _ 	  _ 	PRON
ka 	  ka 	  _ 	  _ 	  _ 	  _ 	PRON
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
tanong 	  tanong 	  _ 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
lalaking 	  lalaki 	  _ 	  _ 	  ng 	  _ 	NOUN
nanlilisik 	  lisik 	  nan 	  _ 	  _ 	  li 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
mata 	  mata 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
elias 	  elias 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

kaibigan 	  ibig 	  ka 	  _ 	  an 	  _ 	NOUN
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
kapitan 	  kapitan 	  _ 	  _ 	  _ 	  _ 	CONJ
pablo 	  pablo 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
sumunod 	  sunod 	  _ 	  um 	  _ 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
elias 	  elias 	  _ 	  _ 	  _ 	  _ 	PROPN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
lalaki 	  lalaki 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sumuot 	  suot 	  _ 	  um 	  _ 	  _ 	VERB
sila 	  sila 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
makipot 	  kipot 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
yungib 	  yungib 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
pababang 	  baba 	  pa 	  _ 	  ng 	  _ 	ADJ
lagusan 	  lagus 	  _ 	  _ 	  an 	  _ 	NOUN
dito 	  dito 	  _ 	  _ 	  _ 	  _ 	CONJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ginagapangan 	  gapangan 	  _ 	  in 	  an 	  ga 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
halamang 	  halaman 	  _ 	  _ 	  g 	  _ 	NOUN
gubat 	  gubat 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
pagkakataong 	  taon 	  pagkaka 	  _ 	  g 	  _ 	NOUN
kailangang 	  kailangan 	  _ 	  _ 	  g 	  _ 	AUX
yumuko 	  yuko 	  _ 	  um 	  _ 	  _ 	VERB
at 	at 	_ 	_ 	_ 	_ 	CONJ
gumapang 	  gapang 	  _ 	  um 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
dalawa 	  dalawa 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
lagusan 	  lagus 	  _ 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

matagal 	  tagal 	  ma 	  _ 	  _ 	  _ 	ADJ
din 	  din 	  _ 	  _ 	  _ 	  _ 	PART
bago 	  bago 	  _ 	  _ 	  _ 	  _ 	ADVERB
sila 	  sila 	  _ 	  _ 	  _ 	  _ 	PRON
nakarating 	  dating 	  naka 	  _ 	  _ 	  _ 	ADJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kuweba 	  kuweba 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
sulong 	  sulong 	  _ 	  _ 	  _ 	  _ 	NOUN
tumatanglaw 	  tanglaw 	  _ 	  um 	  _ 	  ta 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
naroroon 	  doroon 	  na 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

may 	  may 	  _ 	  _ 	  _ 	  _ 	VERB
labindalawang 	  labindalawang 	  _ 	  _ 	  _ 	  _ 	CONJ
sandatahang 	  sandata 	  _ 	  _ 	  hang 	  _ 	NOUN
lalaki 	  lalaki 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kapitan 	  kapitan 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
naghihintay 	  hintay 	  nag 	  _ 	  _ 	  hi 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pagdating 	  dating 	  pag 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
bangkero 	  bangkero 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ikaw 	  ikaw 	  _ 	  _ 	  _ 	  _ 	PRON
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ba 	  ba 	  _ 	  _ 	  _ 	  _ 	PART
iyan 	  iyan 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
elias 	  elias 	  _ 	  _ 	  _ 	  _ 	PROPN
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
nga 	  nga 	  _ 	  _ 	  _ 	  _ 	PART
po 	  po 	  _ 	  _ 	  _ 	  _ 	ADVERB
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ikinalulungkot 	  lungkot 	  ika 	  in 	  _ 	  lu 	VERB
kong 	  kong 	  _ 	  _ 	  _ 	  _ 	PRON
makita 	  kita 	  ma 	  _ 	  _ 	  _ 	VERB
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ganitong 	  ganitong 	  _ 	  _ 	  _ 	  _ 	CONJ
kalagayan 	  lagay 	  ka 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
anim 	  anim 	  _ 	  _ 	  _ 	  _ 	CONJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
buwan 	  buwan 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ngayon 	  ngayon 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
nakararaan 	  daan 	  naka 	  _ 	  _ 	  da 	ADJ
nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
patuluyin 	  tuloy 	  pa 	  _ 	  in 	  _ 	VERB
kita 	  kita 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
aming 	  aming 	  _ 	  _ 	  _ 	  _ 	DET
tahanan 	  tahan 	  _ 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
nahabag 	  habag 	  na 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
iyo 	  iyo 	  _ 	  _ 	  _ 	  _ 	DET
noon 	  noon 	  _ 	  _ 	  _ 	  _ 	ADVERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ngayon 	  ngayon 	  _ 	  _ 	  _ 	  _ 	ADVERB
ikaw 	  ikaw 	  _ 	  _ 	  _ 	  _ 	PRON
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
nahahabag 	  habag 	  na 	  _ 	  _ 	  ha 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
akin 	  akin 	  _ 	  _ 	  _ 	  _ 	DET
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
nabalitaan 	  balita 	  na 	  _ 	  an 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
po 	  po 	  _ 	  _ 	  _ 	  _ 	ADVERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mapait 	  pait 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
karanasang 	  danas 	  ka 	  _ 	  ang 	  _ 	NOUN
sinapit 	  sapit 	  _ 	  in 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
inyong 	  inyong 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
anak 	  anak 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

mula 	  mula 	  _ 	  _ 	  _ 	  _ 	CONJ
noon 	  noon 	  _ 	  _ 	  _ 	  _ 	ADVERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
hinanap 	  hanap 	  _ 	  in 	  _ 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kayo 	  kayo 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
iba't 	  iba't 	  _ 	  _ 	  _ 	  _ 	ADJ
ibang 	  ibang 	  _ 	  _ 	  _ 	  _ 	ADJ
lalawigan 	  lawig 	  _ 	  _ 	  an 	  la 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
para 	  para 	  _ 	  _ 	  _ 	  _ 	CONJ
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
madamay 	  damay 	  ma 	  _ 	  _ 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
kasalanan 	  sala 	  ka 	  _ 	  an 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
umalis 	  alis 	  um 	  _ 	  _ 	  _ 	VERB
ako 	  ako 	  _ 	  _ 	  _ 	  _ 	PRON
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
lugar 	  lugar 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
iyon 	  iyon 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
tulad 	  tulad 	  _ 	  _ 	  _ 	  _ 	ADJ
din 	  din 	  _ 	  _ 	  _ 	  _ 	PART
po 	  po 	  _ 	  _ 	  _ 	  _ 	ADVERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
nangyari 	  nangyari 	  _ 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
aming 	  aming 	  _ 	  _ 	  _ 	  _ 	DET
pamilya 	  pamilya 	  _ 	  _ 	  _ 	  _ 	NOUN
.. 	  .. 	  _ 	  _ 	  _ 	  _ 	SYM
matapos 	  tapos 	  ma 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
masaklap 	  saklap 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
dinanas 	  danas 	  _ 	  in 	  _ 	  _ 	VERB
namin 	  namin 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nilayasan 	  layas 	  ni 	  _ 	  an 	  _ 	VERB
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
rin 	  rin 	  _ 	  _ 	  _ 	  _ 	PART
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lugar 	  lugar 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kinalakhan 	  laki 	  kina 	  _ 	  han 	  _ 	ADJ
ko 	  ko 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

magkatulad 	  tulad 	  magka 	  _ 	  _ 	  _ 	VERB
